// авто-regex для числовых статов (любое число матчится). XUAT: точный ключ имеет приоритет.
r:"^Loading:\ ([\d.,:]+)%$"=Загрузка: $1%
r:"^High\ Score:\ \{([\d.,:]+)\}$"=Рекорд: {$1}
r:"^Is\ inside:\ \{([\d.,:]+)\}$"=Внутри: {$1}
r:"^Is\ spotlight:\ \{([\d.,:]+)\}$"=Прожектор: {$1}
r:"^Item\ Locker\ ([\d.,:]+)$"=Шкаф предметов $1
r:"^Item\ download\ took:\ \{([\d.,:]+)\}ms$"=Загрузка предмета заняла: {$1} мс
r:"^LESSON\ ([\d.,:]+)\ \-\ ITEMS$"=УРОК $1 - ПРЕДМЕТЫ
r:"^Lives:\ ([\d.,:]+)$"=Жизни: $1
r:"^Loading:\ \{([\d.,:]+)\}%$"=Загрузка: {$1}%
r:"^Natural\ Speed:\ \{([\d.,:]+)\}$"=Естественная скорость: {$1}
r:"^No\ associated\ workshop\ item\ leaderboard\ info\ found\ for\ \{([\d.,:]+)\}!$"=Не найдены данные таблицы лидеров предмета мастерской для {$1}!
r:"^Option\ ([\d.,:]+)$"=Вариант $1
r:"^Page\ query\ took:\ \{([\d.,:]+)\}ms$"=Запрос страницы занял: {$1} мс
r:"^Player\ Corrected\ Height:\ \{([\d.,:]+)\}$"=Скорректированная высота игрока: {$1}
r:"^Player\ velocity\ was\ invalid\ \(\{([\d.,:]+)\}\)!\ Resetting\ to\ zero\.$"=Скорость игрока некорректна ({$1})! Сбрасываем до нуля.
r:"^Player\-Buffs:\ \{([\d.,:]+)\}$"=Баффы игрока: {$1}
r:"^Player\-Health:\ \{([\d.,:]+)\}$"=Здоровье игрока: {$1}
r:"^Player\-Perks:\ \{([\d.,:]+)\}$"=Перки игрока: {$1}
r:"^Player\-Pos:\ \{([\d.,:]+)\}$"=Позиция игрока: {$1}
r:"^Progression\ Unlocks:\ \{([\d.,:]+)\}$"=Разблокировки прогресса: {$1}
r:"^Purchase\ \{([\d.,:]+)\}\ for:$"=Купить {$1} за:
r:"^Roaches\ Stored:\ ([\d.,:]+)$"=Тараканов накоплено: $1
r:"^Roaches:\ \{([\d.,:]+)\}$"=Тараканы: {$1}
r:"^Run\ Time:\ ([\d.,:]+)$"=Время забега: $1
r:"^SAVES\ \|\ <mspace=([\d.,:]+)>$"=СЕЙВЫ | <mspace=$1>
r:"^SCORE:\ \{([\d.,:]+)\}$"=СЧЕТ: {$1}
r:"^Score:\ \{([\d.,:]+)\}$"=Счет: {$1}
r:"^Successfully\ downloaded\ workshop\ item\ leaderboard\ info\ for\ \{([\d.,:]+)\}!$"=Данные таблицы лидеров предмета мастерской {$1} загружены!
r:"^Successfully\ updated\ leaderboard\ workshop\ item!\ Id:\ \{([\d.,:]+)\}$"=Предмет мастерской для таблицы лидеров обновлен! Id: {$1}
r:"^Successfully\ uploaded\ blank\ leaderboard\ workshop\ item!\ Id:\ \{([\d.,:]+)\}$"=Пустой предмет мастерской для таблицы лидеров загружен! Id: {$1}
r:"^Time:\ ([\d.,:]+)$"=Время: $1
r:"^Travel\ Distance:\ \{([\d.,:]+)\}$"=Дистанция перемещения: {$1}
r:"^Travel\ Speed:\ \{([\d.,:]+)\}$"=Скорость перемещения: {$1}
r:"^Unsupported\ target\ type\ '\{([\d.,:]+)\}'\.$"=Неподдерживаемый тип цели "{$1}".
r:"^Using\ F([\d.,:]+)\ to\ spy\ is\ cringe\.$"=Шпионить через F$1 - кринж.
r:"^Value:\ \{([\d.,:]+)\}$"=Значение: {$1}
r:"^name:Untitled\ Disk\ ([\d.,:]+)$"=name:Безымянный диск $1
r:"^relative:\ \{([\d.,:]+)\}$"=относительно: {$1}
r:"^\{([\d.,:]+)\}\ Facility\ Credits\ Added$"={$1} кредитов Комплекса добавлено
r:"^\{([\d.,:]+)\}\ Items$"={$1} предметов
